"Qty";"Value";"Device";"Package";"Parts";"Description";"CASE";"MF";"MONTHLY_USAGE";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PART_NUMBER";"PRICE";"SUPPLIER";"TP_SIGNAL_NAME";"TYPE";"VALUE";"_EXTERNAL_";
"1";"ADS1115";"ADC_ADS1015";"MSOP10";"U1";"ADS1015 - 12-bit 4-Channel I2C ADC with Internal PGA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"JST-PH2";"JST-PH2";"OLED1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"JST-PH4";"JST-PH4";"OLED2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"LM2940KTT";"TO263-3";"LM2940SX-12";"LM2940 LDO Voltage Regulator";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"SJ2W";"SJ_2";"JP2";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"0R";"R-EU_R0805";"R0805";"R31";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1000uF";"CP_SV-H";"CSV-H";"C3";"POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100V SMC Schottky";"SCHOTTKY-DIODESMC";"SMC";"D1";"Schottky Diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"18";"100nF";"C-EUC0805";"C0805";"C1, C2, C8, C9, C10, C11, C13, C15, C17, C18, C19, C20, C22, C23, C24, C25, C26, C27";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"8";"10k";"R-EU_R0805";"R0805";"R12, R17, R18, R20, R21, R22, R27, R32";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10uF";"C-EUC1210";"C1210";"C21";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"1Meg";"R-EU_R0805";"R0805";"R8, R9";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1N4148";"DIODE-MINIMELF";"MINIMELF";"D6";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"1k";"R-EU_R0805";"R0805";"R3, R10, R16, R28";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"1nF";"C-EUC0805";"C0805";"C12, C14";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"20X5_LITTLEFUSE_111506";"20X5_LITTLEFUSE_111506";"20X5_LITTLEFUSE_111506";"U$1";"Littlefuse 111 506";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"220uF";"CPOL-EUE";"PANASONIC_E";"C6, C7";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"7";"2k";"R-EU_R0805";"R0805";"R11, R19, R23, R25, R26, R29, R30";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"4.7nF";"C-EUC0805";"C0805";"C4, C5";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"470R";"R-EU_R0805";"R0805";"R2, R15";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"470k";"R-EU_R0805";"R0805";"R4, R5";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"4k7";"R-EU_R0805";"R0805";"R6, R7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"500mA";"PTCFUSE-1206";"R1206";"F1, F2, F4";"PTC fuses, resettable thermistors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"7805DT";"7805DT";"TO252";"IC1";"Positive VOLTAGE REGULATOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ATMEGA328P-PU";"MEGA48/88/168-AU";"TQFP32-08";"IC2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"AVR-ISP-6-EDGE";"AVR-ISP-6-EDGE";"6PAD_ISP";"U$5";"6 pin edge connector for ISP with ATMEL MCUs.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"BAS70-04";"BAS70-04";"SOT23";"D8, D9";"Silicon Schottky Diodes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"BCR503";"GM4_BIP_NPN-DIG_SOT23_RZ";"GM4_BIP_SOT23_RZ";"T1, T2, T3";"NPN Digitaltransistor wie BCR148";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
